Dataset,Model,Type,All,Active,Inactive,DCF,Nov.,Cov.,Short.,Long.,DPF,mCPF,mCPF/All,delta (%)
Epinion,PF,N,0.0321,0.0751,0.0298,0.4321,4.9602,0.5073,0.8281,0.1719,0.6563,0.5442,16.9625,0.0
Epinion,PF,C,0.0337,0.0732,0.0316,0.3964,4.9754,0.5083,0.8243,0.1757,0.6486,0.5225,15.4989,3.99
Epinion,PF,P,0.0304,0.0757,0.028,0.4598,5.3172,0.5325,0.6153,0.3847,0.2306,0.3452,11.3564,36.56
Epinion,PF,CP,0.0313,0.074,0.029,0.4368,5.3302,0.5345,0.6113,0.3887,0.2226,0.3297,10.5402,39.41
Epinion,WMF,N,0.0235,0.0577,0.0217,0.4534,4.9484,0.2913,0.9422,0.0578,0.8845,0.669,28.479,0.0
Epinion,WMF,C,0.0236,0.0565,0.0218,0.442,4.9482,0.2898,0.9422,0.0578,0.8845,0.6633,28.1283,0.85
Epinion,WMF,P,0.0234,0.0577,0.0216,0.456,4.9627,0.3019,0.9321,0.0679,0.8643,0.6601,28.2591,1.32
Epinion,WMF,CP,0.0234,0.0565,0.0217,0.445,4.9623,0.301,0.9321,0.0679,0.8643,0.6546,27.9274,2.15
Epinion,NeuMF,N,0.0433,0.0739,0.0417,0.2788,3.8964,0.1214,0.9892,0.0108,0.9784,0.6286,14.521,0.0
Epinion,NeuMF,C,0.0442,0.0657,0.0431,0.2077,3.8998,0.1214,0.9894,0.0106,0.9787,0.5932,13.4055,5.63
Epinion,NeuMF,P,0.0432,0.0746,0.0415,0.2854,3.9066,0.1238,0.9798,0.0202,0.9595,0.6225,14.4221,0.98
Epinion,NeuMF,CP,0.0443,0.0671,0.0431,0.2176,3.9105,0.1243,0.9797,0.0203,0.9594,0.5885,13.2871,6.38
Epinion,VAECF,N,0.0447,0.0769,0.043,0.2835,4.3811,0.2874,0.9226,0.0774,0.8453,0.5644,12.6369,0.0
Epinion,VAECF,C,0.0504,0.0025,0.0529,0.9107,4.4407,0.3015,0.9159,0.0841,0.8318,0.8713,17.3039,-54.38
Epinion,VAECF,P,0.0375,0.0712,0.0357,0.3315,4.9033,0.3175,0.5857,0.4143,0.1713,0.2514,6.6991,55.45
Epinion,VAECF,CP,0.0416,0.0162,0.0429,0.451,4.9314,0.3228,0.5857,0.4143,0.1713,0.3112,7.4856,44.86
